Unknown Place,No description available,Türkiye/İstanbul,['garden'],41.0831784,28.5883679,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['garden'],41.0831182,28.5877053,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['garden'],41.082383,28.5892235,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['garden'],41.0819575,28.5889482,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['playground'],41.0464312,28.9363379,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['park'],40.9323397,29.1706514,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['playground'],41.0413261,28.9229471,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['park'],41.0462943,28.8603045,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['park'],41.0507089,28.8597896,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['park'],41.0529015,28.8609177,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['park'],41.049107,28.8782281,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['park'],41.0518102,28.8810182,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['park'],41.0113923,28.8799678,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['playground'],41.0116208,28.879929,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['playground'],41.0111733,28.8800896,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['playground'],41.0109385,28.8799435,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['swimming_pool'],40.9659657,29.110428,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['park'],41.0487126,29.0786834,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['park'],41.0470816,29.0804662,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['park'],41.0504394,29.0796921,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['park'],41.0512841,29.0794207,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['park'],41.0463991,29.0780692,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['swimming_pool'],40.9322321,29.1696434,ways,leisure.json
Havaalanı Mahallesi Parkı,No description available,Türkiye/İstanbul,['park'],41.0576148,28.8698495,ways,leisure.json
Turgut Reis Parkı,No description available,Türkiye/İstanbul,['park'],41.0589287,28.8643224,ways,leisure.json
400. Sokak Parkı,No description available,Türkiye/İstanbul,['park'],41.0641236,28.8661173,ways,leisure.json
Kurudere Parkı,No description available,Türkiye/İstanbul,['park'],41.0579276,28.8603239,ways,leisure.json
Şehit Sedat Karaçor Parkı,No description available,Türkiye/İstanbul,['park'],41.0648162,28.8599376,ways,leisure.json
Orhangazi Parkı,No description available,Türkiye/İstanbul,['park'],41.0660022,28.8552423,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['playground'],41.0663691,28.8562521,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['park'],41.0018412,29.085806,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['playground'],41.0023307,29.0861028,ways,leisure.json
Oto Center Meslek Lisesi Yanı Parkı,No description available,Türkiye/İstanbul,['park'],41.0579719,28.8514396,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['swimming_pool'],40.982434,29.1170183,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['swimming_pool'],40.9733107,29.0812277,ways,leisure.json
Ulubatlı Hasan Parkı,No description available,Türkiye/İstanbul,['park'],41.0559644,28.8553548,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['park'],41.0564165,28.9320569,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['swimming_pool'],40.9361711,29.169085,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['playground'],40.8953463,29.1720185,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['swimming_pool'],40.8958389,29.1719585,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['swimming_pool'],40.9429124,29.1418373,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['swimming_pool'],40.9447312,29.1508996,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['park'],41.0115961,28.9157753,ways,leisure.json
Unknown Place,No description available,Türkiye/İstanbul,['playground'],41.0766475,28.6655863,ways,leisure.json
